id;issue_d;loan_amnt;loan_status;funded_amnt;term;int_rate;installment;grade;sub_grade;verification_status;url;addr_state;total_pymnt
60596970;Oct-15;35000.0;Current;35000.0; 60 months;дек.69;;C;C2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=60596970;TX;2273.75
59161774;Aug-15;9800.0;Current;9800.0; 36 months;16.55;347.21;D;;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=59161774;VA;1370.82
53081746;Jun-15;14000.0;;14000.0; 60 months;дек.69;316.33;C;C2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=53081746;TX;1888.11
39652294;Jan-15;20000.0;Late (31-120 days);20000.0; 36 months;дек.99;673.79;C;C2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=39652294;CA;6709.03
61682752;Oct-15;34075.0;Current;34075.0; 60 months;13.33;;C;C3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=61682752;TX;2318.01
38078645;Jan-15;;Late (16-30 days);3875.0; 36 months;14.99;134.31;C;C5;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38078645;TX;3687.54
55491147;Jul-15;18900.0;Fully Paid;18900.0; 36 months;16.99;673.75;D;D3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=55491147;CA;20294.66
60676961;Sep-15;13300.0;Current;13300.0; 36 months;дек.29;443.6;C;C1;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=60676961;CA;
63450505;Oct-15;19825.0;Current;19825.0; 60 months;18.55;;E;E2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=63450505;MN;926.82
38762271;Jan-15;13450.0;Charged Off;13450.0; 60 months;21.99;371.4;E;E5;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38762271;PA;2211.97
54078246;Jul-15;3000.0;Fully Paid;3000.0; 36 months;дек.69;100.64;C;C2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=54078246;MN;3115.46
40107178;;15000.0;Charged Off;15000.0; 36 months;дек.99;505.34;C;C2;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=40107178;UT;1536.93
57704516;Aug-15;8500.0;Current;8500.0; 36 months;дек.29;283.51;;C1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=57704516;CA;1411.75
46536662;May-15;35000.0;Current;35000.0; 60 months;16.55;861.4;D;D2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=46536662;IL;6859.02
65271965;Nov-15;35000.0;Current;; 36 months;окт.99;1145.69;B;B4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65271965;CA;2270.01
48726268;May-15;14400.0;Current;14400.0; 36 months;окт.99;471.37;B;B4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=48726268;MN;3753.38
44025783;Mar-15;8000.0;Current;8000.0; 36 months;;258.1;B;B3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=44025783;CO;2318.46
39651723;Jan-15;6000.0;Fully Paid;6000.0;;дек.39;200.41;C;C1;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=39651723;MS;6262.72
43800570;Mar-15;4950.0;Current;4950.0; 36 months;14.65;170.75;C;C5;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=43800570;NC;1703.47
54524104;Jul-15;20400.0;Current;20400.0; 60 months;окт.99;443.45;B;B4;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=54524104;OH;2254.61
65812689;;12000.0;Current;12000.0; 36 months;окт.99;392.81;B;B4;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=65812689;NY;770.97
40450227;Jan-15;7500.0;Current;7500.0; 36 months;авг.19;235.69;A;A5;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=40450227;MN;2585.77
48484532;May-15;8000.0;Current;8000.0; 36 months;дек.69;268.36;C;C2;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=48484532;MT;2141.24
42323553;Mar-15;12000.0;Current;12000.0; 36 months;;382.55;B;B2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=42323553;MA;3813.27
56082406;Aug-15;12000.0;Current;12000.0; 36 months;сеп.17;382.55;B;B2;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=56082406;NY;1906.64
62804906;Oct-15;35000.0;Current;35000.0; 36 months;16.99;1247.68;D;D3;;https://www.lendingclub.com/browse/loanDetail.action?loan_id=62804906;FL;2429.29
38437586;Jan-15;34500.0;Current;34500.0; 60 months;13.66;;C;C3;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38437586;GA;9507.92
55513620;Jul-15;12000.0;Current;12000.0; 36 months;13.33;406.24;C;C3;Source Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=55513620;TX;2022.31
40991628;Mar-15;35000.0;Current;35000.0; 60 months;дек.29;783.7;C;C1;Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=40991628;NC;7813.1
53744563;Jul-15;10000.0;Current;10000.0; 36 months;сеп.17;318.79;B;;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=53744563;IL;1907.65
38566235;Jan-15;4000.0;Current;; 36 months;юли.49;124.41;A;A4;Not Verified;https://www.lendingclub.com/browse/loanDetail.action?loan_id=38566235;CA;1491.26
